site,morphotype,order,family,genus,species,specimen_number,measurer_comments,margin,petiole_width,petiole_area,blade_area,blade_perimeter,feret,minimum_feret,raw_blade_area,raw_blade_perimeter,internal_raw_blade_area,internal_raw_blade_perimeter,length_of_cut_perimeter,no_of_primary_teeth,no_of_subsidiary_teeth
Fox Hills,FH2,Proteales,Platanaceae,"""Vitis""",stantonii,DSCN0544,,,0.11,,27.232,,8.918,,,,,,,,
Fox Hills,FH2,Proteales,Platanaceae,"""Vitis""",stantonii,DSCN0635,,0,,,51.07,,9.91,,4.646,19.872,4.546,19.632,17.122,4,
Fox Hills,FH2,Proteales,Platanaceae,"""Vitis""",stantonii,DSCN0684,,0,,,28.94,,7.282,,1.566,9.077,1.546,8.969,7.253,3,
Fox Hills,FH2,Proteales,Platanaceae,"""Vitis""",stantonii,DSCN0686,,0,,,32.556,,7.596,,3.632,12.207,3.595,12.054,8.284,3,
Fox Hills,FH2,Proteales,Platanaceae,"""Vitis""",stantonii,ND03-1.41,,0,0.35,0.076,48.356,,8.619,,11.073,21.17,10.906,20.454,11.65,14,
Fox Hills,FH2,Proteales,Platanaceae,"""Vitis""",stantonii,M7,,0,,,,,,,4.432,13.616,4.389,13.516,7.281,3,
Fox Hills,FH3,Magnoliales,Magnoliaceae,Liriodendrites,bradacii,DSCN0516,,1,0.13,,46.148,,9.781,,46.148,,46.148,,,0,
Fox Hills,FH3,Magnoliales,Magnoliaceae,Liriodendrites,bradacii,DSCN0590,,1,0.19,0.639,80.123,,12.825,,80.123,,80.123,,,0,
Fox Hills,FH3,Magnoliales,Magnoliaceae,Liriodendrites,bradacii,DSCN0591,,1,0.19,0.607,74.078,,12.478,,74.078,,74.078,,,0,
Fox Hills,FH3,Magnoliales,Magnoliaceae,Liriodendrites,bradacii,DSCN0609,,1,,,73.192,,10.061,,73.192,,73.192,,,0,
Fox Hills,FH3,Magnoliales,Magnoliaceae,Liriodendrites,bradacii,DSCN0755,,1,0.15,0.309,24.463,,6.999,,24.463,,24.463,,,0,
Fox Hills,FH3,Magnoliales,Magnoliaceae,Liriodendrites,bradacii,DSCN0766,,1,0.2,,67.307,,11.601,,67.307,,67.307,,,0,
Fox Hills,FH3,Magnoliales,Magnoliaceae,Liriodendrites,bradacii,ND03-1.75,,1,0.21,0.63,71.718,,12.563,,71.718,,71.718,,,0,
Fox Hills,FH3,Magnoliales,Magnoliaceae,Liriodendrites,bradacii,M3,,1,0.12,0.044,25.571,,7.736,,25.571,,25.571,,,0,
Fox Hills,FH10,Rosales,Rhamnaceae,Rhamnus,salicifolius,DSCN0401,,1,,,16.235,,7.444,,16.235,,16.235,,,0,
Fox Hills,FH10,Rosales,Rhamnaceae,Rhamnus,salicifolius,DSCN0406,,1,,,13.416,,9.603,,13.416,,13.416,,,0,
Fox Hills,FH10,Rosales,Rhamnaceae,Rhamnus,salicifolius,DSCN0482,,1,,,17.218,,9.573,,17.218,,17.218,,,0,
Fox Hills,FH10,Rosales,Rhamnaceae,Rhamnus,salicifolius,DSCN0601,,1,,0.168,24.83,,9.987,,24.83,,24.83,,,0,
Fox Hills,FH10,Rosales,Rhamnaceae,Rhamnus,salicifolius,ND03-1.86b,,1,0.1,0.112,8.273,,6.897,,8.273,,8.273,,,0,
Fox Hills,FH10,Rosales,Rhamnaceae,Rhamnus,salicifolius,M10,,1,,,11.349,,7.999,,11.349,,11.349,,,0,
Fox Hills,FH10,Rosales,Rhamnaceae,Rhamnus,salicifolius,rhamnus-1,,1,,,7.826,,6.449,,7.826,,7.826,,,0,
Fox Hills,FH10,Rosales,Rhamnaceae,Rhamnus,salicifolius,rhamnus.go,,1,,0.017,8.166,,7.672,,8.166,,8.166,,,0,
Fox Hills,FH11,Proteales,Platanaceae,Platanites,marginata,DSCN0414,,0,,,,,,,10.371,23.185,10.346,22.762,16.548,7,
Fox Hills,FH11,Proteales,Platanaceae,Platanites,marginata,ND03-1.83,,0,0.15,,53.569,,11.445,,13.776,26.392,13.611,26.03,15.73,2,
Fox Hills,FH12,Proteales,,Dalbergites,simplex,DSCN0699,,1,,,15.618,,4.766,,15.618,,15.618,,,0,
Fox Hills,FH12,Proteales,,Dalbergites,simplex,M12,,1,0.07,0.002,6.51,,3.377,,6.51,,6.51,,,0,
Fox Hills,FH12,Proteales,,Dalbergites,simplex,M12_go2,,1,,,7.85,,3.28,,7.85,,7.85,,,0,
Fox Hills,FH15,Proteales,,"""Juglans""",arctica,ND03-1.48,,1,0.17,0.036,29.291,,9.173,,29.291,,29.291,,,0,
Fox Hills,FH15,Proteales,,"""Juglans""",arctica,DSCN0773,,1,0.06,,37.108,,10.307,,37.108,,37.108,,,0,
Fox Hills,FH20,Proteales,,,,DSCN0761,,0,,,66.197,,10.264,,13.893,31.149,13.589,30.107,25.002,7,
Fox Hills,FH20,Proteales,,,,DSCN0763,,0,,,61.912,,9.774,,12.025,23.626,11.839,22.92,19.35,4,
Fox Hills,FH26,Proteales,Platanaceae,Grewiopsis,saportana,DSCN0546,,0,,,,,,,7.893,13.25,7.625,12.619,6.386,4,
Fox Hills,FH26,Proteales,Platanaceae,Grewiopsis,saportana,DSCN0661,,0,,,39.072,,9.23,,6.784,22.638,6.678,21.704,8.901,11,
