"Site","evergreen","n.percent","c.percent","c.n.ratio","leaf.thickness.mm","leaf.mass.g","petiole.width.cm","pw2.a.ratio","petiole.area.cm2","blade.area.cm2","perimeter.cm","shape.factor","major.length.cm","internal.perimeter.cm","tooth.area.cm2","primary.teeth.number","secondary.teeth.number","teeth.number","leaf.area.cm2","ln.leaf.area.mm2","leaf.mass.per.area.g.per.m2","compact","feret.diam.ratio","perim.area.cm2","perim.ratio","teeth.perimeter.percm","teeth.interior.percm","avt.tooth.area","tooth.area.blade.area.ratio","tooth.area.perimeter","tooth.area.interior","teeth.blade.area.ratio","margin.score","site.info","latitude","longitude","mat","map","gsmt","gsp","gdd","gsdd","gsl","cmmt","wmmt","mart"
"Alamos",0,NA,NA,NA,NA,0.101,0.0924848484848485,0.0036969696969697,0.1435,13.2724,16.0483428571429,0.514142857142857,5.29665714285714,22.3499285714286,0.196742857142857,13.6571428571429,0,13.6571428571429,13.3951714285714,6.01437142857143,80.8486129032258,28.4135142857143,0.6388,5.96877142857143,1.05182857142857,0.6502,0.7438,0.0109428571428571,0.0132571428571429,0.00725714285714286,0.00831428571428571,1.36514285714286,0.628571428571429,NA,27.1,-109,23.2,68.9,25.2,56.7,4829,2340,154,16.7,29,12.3
"Alcornocales Natural Park",0.619047619047619,NA,NA,NA,NA,NA,0.1886,0.0024,0.430666666666667,39.6579523809524,28.124380952381,0.492904761904762,9.20080952380952,33.7530909090909,1.21647619047619,14.2142857142857,2,15.1666666666667,40.088619047619,7.50319047619048,NA,28.5566666666667,0.623857142857143,1.47842857142857,1.03052380952381,0.620761904761905,0.656238095238095,0.0636666666666667,0.0248571428571429,0.0260952380952381,0.0282380952380952,0.784380952380952,0.452380952380952,NA,36.2,-5.3,17.8,72.3,15.4,69.4,2863,1323,243,12.9,24,11.1
"Allegheny National Forest, PA",0.0425531914893617,NA,NA,NA,NA,NA,0.110488372093023,0.000302325581395349,NA,44.1574893617021,34.3118085106383,0.388042553191489,10.8102127659574,29.2439714285714,1.47991489361702,43.1489361702128,9.44827586206896,48.9787234042553,44.1574893617021,7.8871914893617,NA,37.3858085106383,0.606127659574468,1.33597872340426,1.17353191489362,1.65163829787234,2.06721276595745,0.0717234042553192,0.0341914893617021,0.0349148936170213,0.0434255319148936,2.61274468085106,0.25531914893617,NA,41.9,-78.7,6.1,116.2,13.9,64.6,787,787,184,-7.3,18.1,25.4
"Archbold, FL",0.588235294117647,1.44764705882353,46.8470588235294,33.2823529411765,0.222,0.153588235294118,0.1174,0.00146666666666667,0.114714285714286,13.537,17.1868235294118,0.536882352941176,6.62447058823529,18.8136666666667,0.0834117647058824,10.3823529411765,0,10.4058823529412,13.6313529411765,6.91711764705882,120.312235294118,25.8331764705882,0.597705882352941,1.71982352941176,1.02082352941176,0.515882352941177,0.553882352941176,0.00305882352941176,0.00635294117647059,0.00376470588235294,0.004,1.02270588235294,0.676470588235294,NA,27.2,-81.4,22.3,125.3,22.3,125.3,4483,4483,365,16,27.4,11.4
"Bandon, OR",0.259259259259259,NA,NA,NA,NA,0.171666666666667,0.1865,0.00269230769230769,0.175571428571429,19.6407037037037,22.1277407407407,0.505740740740741,7.30192592592593,21.1128,0.543444444444444,41.1666666666667,2.09375,42.4074074074074,19.7774814814815,7.25466666666667,87.1811111111111,28.8606666666667,0.655444444444444,1.52074074074074,1.12466666666667,1.72311111111111,2.00211111111111,0.0113333333333333,0.028,0.0198888888888889,0.0245925925925926,2.70233333333333,0.259259259259259,NA,43.1,-124.4,11.2,158.5,9.4,146.1,652,113,243,7.6,15,7.5
"Barro Colorado Island",0.868852459016394,NA,NA,NA,NA,0.461960784313726,0.15247,0.00063,NA,66.733,36.2793358208955,0.549022388059701,14.3177313432836,30.3657142857143,0.0733059701492537,5.03731343283582,0.370689655172414,5.35820895522388,66.733,8.31977611940298,66.7761078431373,25.1003208955224,0.578723880597015,0.928679104477612,1.00514925373134,0.181686567164179,0.190559701492537,0.00333582089552239,0.00194776119402985,0.00226119402985075,0.0023955223880597,0.163111940298507,0.843283582089552,NA,9.2,-79.9,26.5,262.4,26.6,248,6059,4557,275,25.7,28,2.3
"Big Hammock, GA",0.0384615384615385,1.7664,45.724,28.4,0.102884615384615,0.132538461538462,0.09228,6e-04,0.113478260869565,25.2595,24.2412307692308,0.470346153846154,7.82403846153846,22.6502631578947,0.743269230769231,26.8974615384615,3.802125,29.1025,25.3626538461538,7.29369230769231,58.776,33.9916153846154,0.636961538461538,1.63419230769231,1.10326923076923,1.42226923076923,1.63865384615385,0.0346923076923077,0.0345384615384615,0.0261923076923077,0.0310769230769231,2.65823076923077,0.269230769230769,NA,31.9,-82.1,19,120.2,19,120.2,3326,3326,365,9.7,27.5,17.8
"Borinquen",0.736842105263158,NA,NA,NA,NA,0.144317073170732,0.111305555555556,0.00236111111111111,0.075078947368421,10.2202682926829,12.9364390243902,0.613512195121951,5.01636585365854,10.6995714285714,0.0208536585365854,4.5609756097561,0,4.5609756097561,10.2883170731707,6.33321951219512,140.934926829268,22.5771463414634,0.672560975609756,2.36165853658537,1.02173170731707,0.390463414634146,0.426317073170732,0.00124390243902439,0.00439024390243902,0.00165853658536585,0.00185365853658537,1.10041463414634,0.829268292682927,NA,18,-66.9,25.2,126.8,25.3,123.2,5519,5105,334,23.4,26.4,3.1
"Buena Vista",0.864864864864865,NA,NA,NA,NA,0.361923076923077,0.152461538461538,0.00274358974358974,0.120305555555556,15.8535384615385,15.8007948717949,0.617615384615385,6.19820512820513,10.9612857142857,0.0321025641025641,4.91025641025641,0,4.91025641025641,15.9671282051282,6.76346153846154,200.322025641026,22.3178205128205,0.64025641025641,1.88215384615385,1.01220512820513,0.448487179487179,0.50225641025641,0.00158974358974359,0.00453846153846154,0.00258974358974359,0.00282051282051282,0.908,0.82051282051282,NA,18.3,-67,22.1,248.7,22.2,241.8,4402,4112,337,20.3,23.5,3.2
"Cabo Rojo",0.625,NA,NA,NA,NA,0.268066666666667,0.133379310344828,0.00337931034482759,0.104642857142857,17.2701,13.9535666666667,0.6561,4.96703333333333,9.131,0.0165333333333333,2.96666666666667,0.0740740740740741,3,17.3506333333333,6.33813333333333,145.425833333333,20.8435666666667,0.697366666666667,2.64733333333333,1.01646666666667,0.431933333333333,0.516533333333333,0.000866666666666667,0.00613333333333333,0.00183333333333333,0.00213333333333333,1.61873333333333,0.866666666666667,NA,17.9,-67.2,25.9,100.8,26.1,97.9,5808,5412,337,24.1,27.3,3.2
