"Site","pw2.a.ratio","ln.leaf.area.mm2","feret.diam.ratio","margin.score","perim.ratio","teeth.perimeter.percm","teeth.interior.percm","avt.tooth.area","tooth.area.blade.area.ratio","tooth.area.perimeter","tooth.area.interior","teeth.blade.area.ratio","mat","map","latitude_n","longitude_e"
"Alamos",0.000964166719245154,6.01700800993992,0.641885660337007,0.628571428571429,1.12936833949784,1.62574063666812,1.8593006909626,0.0272441067067435,0.0333681877266227,0.0181413485807881,0.0207241393149172,3.41274268042116,23.49166679,60.5,27.06666806,-108.9666634
"Alcornocales Natural Park",0.00119168225621358,7.50340496266494,0.629052262879232,0.452380952380952,1.0534003059081,1.08630207807156,1.1482544801263,0.111264672208002,0.0434716576412633,0.0457591292915786,0.0493515068383437,1.37248390757989,16.12916756,78.4,36.416864,-5.581529
"Allegheny National Forest, PA",0.000497627768343667,7.88721453805856,0.606033057522655,0.25531914893617,1.23297691118477,2.21809338679983,2.77598847709435,0.0963550277475442,0.0459666163193732,0.0468423564998194,0.0583488317883148,3.50830287270279,6.575000286,115.6,41.88,-78.7
"Archbold, FL",0.00142109091837162,6.9170315333137,0.599717667905444,0.676470588235294,1.05918108230923,1.46170369266048,1.56933702423647,0.00847925694646344,0.0181771613692986,0.0107578331165793,0.0116439586788577,2.89579314139649,22.4375,124.3,27.18,-81.35
"Bandon, OR",0.00269761232567643,7.25473309213249,0.65787314315986,0.259259259259259,1.16828306530863,2.32625419861865,2.70284287728961,0.0152876548450456,0.037914468621237,0.0268289474327842,0.0331263770210628,3.64677776707334,11.47916698,157.2,43.13166697,-124.3983309
"Barro Colorado Island",0.000703910041838511,8.31981834266226,0.57869321288927,0.843283582089552,1.03294786802164,1.15923260876672,1.2159961809411,0.0213387447592607,0.0123897957286453,0.0144795950823589,0.0154049705993773,1.0409062697445,26.39583397,249.6,9.17,-79.85
"Big Hammock, GA",0.000669566797393592,7.29372367571002,0.638588657927763,0.269230769230769,1.13435507386371,1.84892375244644,2.13026852187288,0.0453947625967493,0.0448517546241834,0.0339530355032945,0.0403953987918087,3.45568289537473,19.07916641,119.8,31.86,-82.11
"Borinquen",0.00229674599255584,6.3331865236704,0.675507168202805,0.829268292682927,1.12720503600463,2.28688224985032,2.4965886991002,0.00692933851862423,0.0261703058790751,0.0099621411616236,0.0108987741912324,6.43976016443852,25.17499924,115.7,17.96999997,-66.87083829
"Buena Vista",0.00202473112295191,6.76346705418665,0.643634005031917,0.82051282051282,1.06800790906872,2.49831483169248,2.79851873293501,0.00883997417559843,0.0250894756542396,0.0143632708649829,0.0155273602664833,5.05956032829627,22.53333282,217.4,18.1702,-66.99
"Cabo Rojo",0.00206310034357209,6.33839482729668,0.700288026529938,0.866666666666667,1.12366711017392,3.2398947946255,3.87512620834317,0.00595659866054603,0.0447583699479715,0.0133865647030301,0.0155494527640954,12.1496031429126,26.21666718,105.8,17.96222,-67.200125
"Cabo San Lucas, Baja Mexico",0.00281767761162208,4.66699259849358,0.65489393189717,0.776315789473684,1.12525614353546,2.10468020095943,2.41692173937809,0.0200814447563674,0.0911951213978839,0.0231755925814458,0.0273058223999708,7.55314858419444,23.32083321,24.4,22.897822,-109.899113
"Cape Blanco, OR",0.00117078778464045,7.24715253310499,0.660719522606551,0.3125,1.20772457914409,2.36376855324832,2.93618287572976,0.00824347661519116,0.0248741935488175,0.0162724066015129,0.0208724947117713,3.74837872494747,11.48750019,193.4,42.83333252,-124.5483301
"Chamela",0.000586856100209263,6.46607386943697,0.664479166573247,0.798076923076923,1.10842527746308,1.19844418885198,1.38451512029695,0.0333588526199226,0.0433139692499092,0.0252537226937175,0.0298127624437021,2.087831301474,25.19583321,94.2,19.5,-105.05
"Childs, AZ",0.00983250470493465,4.42221202815903,0.639694761434555,0.478260869565217,1.10357714496511,1.92627072319835,2.18729167404674,0.00816334148367934,0.032486123136157,0.00928229656986823,0.0108619452141443,16.2136328187707,17.96666718,46.3,34.34500022,-111.6950087
"Chuzenji-ko",0.000273198056233957,8.00029329961469,0.697914432405235,0.136363636363636,1.32211808708316,3.33786814750411,4.41801943850086,0.0198803190253725,0.037268400933788,0.0289437472632523,0.0397384060590725,4.8314069368214,6.700000286,196,36.7198,139.4699
"Clearwater, WA",0.00058902604991267,7.33639615696513,0.659423322339939,0.166666666666667,1.22084359404867,2.92626323939686,3.53963994472108,0.0112637999053569,0.033833717311488,0.0208706169435796,0.0269070728733702,5.52275235938557,9.699999809,308.5,47.58332956,-124.3000024
"Cockaponset Forest, CT",0.000525134112245938,7.98037365827519,0.658209139926736,0.365384615384615,1.2046370675494,1.79603769683394,2.35135100031038,0.0597427076015509,0.0362302680796234,0.0389124817736283,0.047843614373709,2.0810160942842,9.9375,125.9,41.4,-72.5
"Cordillera Pelada",NA,6.16511679239105,0.618226340924639,0.403225806451613,1.11929197322849,1.8211166093436,2.03736284951693,0.0162312761853163,0.0532112845081134,0.0200960976381291,0.0231966223611198,5.97954033531726,8.958333015,179.3,-40.2427,-73.3484
"CT-River",0.000578300225209657,7.41027628801824,0.649010795575391,0.388888888888889,1.17336038378677,2.34533821725613,2.95897826941886,0.0332624334904969,0.0209504729225429,0.0190206641305623,0.0223659562735569,3.83507627834843,10.14999962,121,41.5037,-72.546983
"CT-Swamp",0.000393407240563345,7.75422435604829,0.699865180217786,0.307692307692308,1.30756655367406,2.10308049243492,2.84312731332824,0.0487451365698183,0.0397501665284648,0.0367499166321039,0.0511251288217613,2.73544260026283,9.9375,123.9,41.516433,-72.541417
"CT-Upland",0.000402331430253418,7.415517999776,0.636858929284987,0.392857142857143,1.26165654199629,2.27640039327836,3.04943646135237,0.050853618680126,0.0321546580709649,0.0254865466444836,0.0327118853892103,3.43081376206368,10.14999962,121,41.505367,-72.542433
"Danum Valley Field Center, Borneo",NA,9.46477029956761,0.605637299654662,0.876470588235294,1.02219352512052,0.58377885587859,0.60129907279411,0.219625022663382,0.0168691339156529,0.0552731525154143,0.0571797123259061,0.290343411493224,24.77499962,222.5,5.016667,117.8125
"Dilcher's Woods lowland, FL",0.000750956558927865,7.61511861733682,0.603052636330293,0.395833333333333,1.11745809469006,1.79934247923107,2.09697747680239,0.0433260355598936,0.0337603598798845,0.0326156329547695,0.0382979841399626,2.78929363876084,20.36249924,130.5,29.6,-82.2
"Dilcher's Woods upland, FL",0.00140302659061727,6.92066165307928,0.597997574514751,0.613636363636364,1.09589555249013,1.97357152446489,2.22809559477983,0.0233600091484993,0.0295324689470437,0.0165903988165701,0.0191404182867834,4.00647037600337,20.36249924,130.5,29.6,-82.2
"Ducke",NA,8.43190060376212,0.573821899467752,0.931654676258993,1.01623440059563,0.356749218391487,0.371332236963977,0.0139653362195843,0.00560997887102195,0.00593511595534205,0.00611767956825109,0.473049480526594,26.97500038,223.7,-3,-58.97
"Duke Forest, NC",0.000510018989867562,7.91856120161776,0.655911234959851,0.407407407407407,1.09695524432899,1.50400187995187,1.71384609831013,0.0760002336767661,0.031878083967098,0.0355143446225928,0.0419052238759777,1.85250234160405,15.47916698,113.9,35.98,-78.91
"Empalme",0.00276745865982446,4.31958058151914,0.618635587185247,0.708333333333333,1.17697014179594,2.52251193623078,2.93724409258691,0.00808707437654853,0.0671785245923787,0.0143062652880904,0.0175273067032525,12.6043704099289,23.82916641,48.5,27.26735813,-109.3932501
"Foxton Estuary",0.00649189465842023,4.63016708248757,0.630103665717853,0.8,1.29896677524708,1.91829014399353,2.60475039259257,0.0233318218022519,0.104213846781405,0.0317775924703213,0.0438985084393669,6.25925899787782,12.95416641,94.9,-40.45,175.216667
"Frodsham, Tasmania",0.0107714928868755,4.41749469929182,0.496602571225005,0.894736842105263,1.08186817728256,2.26536134112988,2.46244752796842,0.0335299167744021,0.044365089853104,0.024722368374226,0.0266431365663618,8.0343909304401,8.095833778,189,-42.8,146.4
"Gorgona",0.00120700299719145,7.82789224068214,0.610797384708638,0.9375,1.05104610806826,1.11125010342829,1.18584036398447,0.0152197681519022,0.0169791310938805,0.0154563440338326,0.017060748429686,1.21171006345433,25.29999924,474,2.970351018,-78.18942184
"Gouland Downs",0.00320993750256641,4.0093299764976,0.529149139204503,0.826086956521739,1.08458769042316,1.58096592045898,1.68266488555777,0.0101866384711779,0.0354851015575278,0.0122322568246031,0.0138646113690768,8.51435326279945,9.470833778,283.5,-40.88825164,172.3501599
"Government Camp, OR",0.00123642529224831,6.58490978110659,0.678200535597517,0.214285714285714,1.20247783442137,2.44137760165399,3.02911525621571,0.0101098686456571,0.0363742599830913,0.0163613370915242,0.0208912930481056,7.32775683958461,4.995833397,217.7,45.31500016,-121.746664
"Guajataca",0.00112407821500694,7.91115622002067,0.610614021084288,0.710526315789474,1.075327977587,1.48018129612024,1.5620595883529,0.0246992967564176,0.022566719452697,0.0226201073640404,0.0249270470449446,1.31234737135843,23.96249962,199.7,18.4095,-66.9706
"Guanica",0.00178035492300085,6.51388976972766,0.676002936530258,0.833333333333333,1.12856758538187,2.57127214478474,2.91091522392112,0.0109283133817063,0.0211297187300089,0.0151108736648069,0.0178265047859074,4.14160253533197,25.97916603,83.7,17.934795,-66.929542
"Half Moon Bay, CA",0.0026329970319237,6.7599601205486,0.643956246699947,0.291666666666667,1.12813779290688,2.41515813697799,2.77039647999653,0.0117858253591953,0.0267451881321498,0.0178647289742827,0.0216894760414014,4.68048863206773,12.96666718,69.8,37.36166631,-122.3966662
"Harvard Forest, MA",0.000573765176518359,7.85521027265098,0.674265255487273,0.166666666666667,1.14804331379713,2.24271859185879,2.65695063031722,0.028054725963851,0.0247537799257144,0.0264026122856743,0.0314682486679518,2.70740518090392,7.199999809,110.5,42.5,-72.2
"Hawk Mountain, PA",0.000722890125721271,8.18936008336716,0.642944193031458,0.270833333333333,1.16330768630327,1.64678753500069,2.00140067607144,0.059049298753238,0.0310750985298507,0.0350409365593694,0.0424622089608566,1.76328646898453,10.23750019,114.3,40.63,-75.85
"Hobart Wet Sclerophyll, Tasmania",0.00223908413712395,6.0635650115441,0.489552910615603,0.75,1.08530320616262,2.00083717706313,2.25476314526544,0.00894939943499208,0.0222353723375292,0.0146740850717652,0.0162782631859443,3.83272407546552,11.29166698,79.2,-42.9,147.3
"Homer",0.00104350250597555,6.33909474861666,0.64993094719478,0.225,1.19195301762676,1.93755341667173,2.39465496269995,0.0117754422726896,0.0371057239545561,0.0216507233155191,0.0301264086909028,4.28256549298595,3.283333302,68.9,59.64000081,-151.4799961
"Hood River, OR",0.00173612134026964,7.19832298734432,0.695336443950274,0.160714285714286,1.19119421126293,2.06471413842156,2.52113770465123,0.0327742408397384,0.04407726186795,0.0256161426154983,0.0319913254697033,3.55017983959425,10.95833302,79.9,45.68666826,-121.5166635
"Hubbard Brook, NH",0.000546872098965281,8.008154795756,0.689520145371123,0.0666666666666667,1.15837153171752,1.94680447430318,2.28983477070196,0.039909439721779,0.029778333995187,0.0327760106977218,0.0393802275040165,2.23176201182398,5.379166603,108.9,43.9,-71.8
"Huyck Preserve, NY",0.000765802698855981,7.77321243132885,0.664994258211936,0.0416666666666667,1.18943429575117,2.20771639059079,2.71654630646831,0.0284124337626688,0.0331408643233401,0.0297786913278592,0.036740780482924,2.91177047751621,7.616666794,101.3,42.67,-74.49
"IES, NY",0.000632767278463831,8.14074147948845,0.658193224607621,0.193548387096774,1.18136482095134,1.91022639776645,2.34041361795574,0.0847628128541831,0.0322842010604812,0.0378495038138057,0.0468673525427108,2.66055097066453,9.191666603,111.8,41.83,-73.75
"Kaimanawa Mountains",NA,3.90235584091023,0.537409626967798,0.75,1.10939258998343,1.52799939199369,1.71195229825053,0.0266065782709405,0.0702045856651971,0.0200966564616266,0.022911571405142,7.8161042747161,7.729166508,168.1,-39.25,175.933333
"Keka",0.000746147299617807,8.1035294322086,0.610254806726904,0.857142857142857,1.06465283697114,0.749352510891083,0.804952051451131,0.0346429792429793,0.0266056065163481,0.0201797642860157,0.0237936523033697,0.708708194714247,24.46666718,298.2,-16.75001585,179.0199514
"Kepong",0.000333634246840808,8.48458756370756,0.556012577197809,1,NA,NA,NA,NA,NA,NA,NA,NA,27.47916603,225.5,3.083,101.583
"Ketchikan",0.00302588676212981,6.22458307265642,0.640351925857328,0.333333333333333,1.19148828267379,3.30479791578868,3.8087484332406,0.0132644787332676,0.0367290115086399,0.0208309511093223,0.0267992686834191,8.63387091515859,7.320833206,354,55.32333333,-131.595
"Los Queles",NA,6.5856402310317,0.647032276906609,0.403225806451613,1.10205438688375,1.31079073316309,1.52493343412427,0.0225366081904373,0.0353808223971662,0.0170691726300551,0.0196074162615132,2.63333160777855,11.6208334,90,-35.9821,-72.6873
"Los Ruiles",NA,6.51295834555337,0.656423397316507,0.463414634146341,1.09522082277985,1.77588111494741,1.9800194894361,0.0160443632874218,0.0382275379792591,0.0192063991661461,0.0217613718989437,4.04584930237556,12.13333321,86.3,-35.8258,-72.5033
"Margaret River",0.00609091648013441,5.78785611549113,0.44768248576045,0.75,1.25818141219326,1.15023707106676,1.38608536667774,0.0528224153297683,0.0861926516510925,0.0333697026426546,0.0438420099082296,6.93589713618058,16.52499962,114.7,-34.1,115.1
"Monte Guilarte",0.000996037513178089,7.59374521054822,0.641683390326969,0.757575757575758,1.06079485516268,1.8441297890577,1.97826410778436,0.0139674243176485,0.0126135414558636,0.0128617380035655,0.0140962856134851,2.58923499675388,20.09166718,208.3,18.15399777,-66.80487416
"Mt. Read, Tasmania",0.0107667081800541,5.04693585458005,0.570134433040115,0.630434782608696,1.09898182426466,2.61292843516836,2.91030935480161,0.0110534074978519,0.0557743671109891,0.0158678144474479,0.017686154082209,11.4391214745833,8.220832825,263.4,-41.8,145.6
"Murrua Track",0.0049903262319198,6.27340445673078,0.399005500906092,0.941176470588235,1.04307680738155,0.466661884701174,0.48728491876543,0.0142732648615001,0.0166623436286046,0.00649419623981404,0.00673010079390701,1.23715798196353,16.92083359,132.3,-33.578,151.292
"Nagakubo",0.00066200627047341,7.7037714414642,0.571134931651632,0.5,1.07848952063718,1.49545135116687,1.64859978306215,0.0190537276627674,0.0166898669835462,0.0153219141862648,0.0171177679226839,1.81845694835869,19.19166565,306.8,30.3492,130.6644
"Nahuelbuta",NA,6.21414072727124,0.63036674074089,0.333333333333333,1.07749165024502,2.03236214081917,2.23013186040317,0.0158945925590662,0.0352923968946433,0.0162544674905777,0.0181792666682446,5.65866685356442,10.28333378,141.6,-37.8412,-73.1959
"Nestucca River, OR",0.00255230747104993,7.49877835312082,0.665443177382919,0.235294117647059,1.16271589067405,2.16516594987312,2.60696892132769,0.0749991841115139,0.0285767633048112,0.0280601214165305,0.0338491272969549,3.50652479976746,10.32499981,247.6,45.04166464,-123.9666669
"Noah Creek",NA,8.53410939016661,0.558213527989838,0.865853658536585,1.15847226923611,1.20561908723001,1.39132943584647,0.0168597050398772,0.0176317449958293,0.0172564087531357,0.0202220450762262,1.24266867909091,23.6875,305.4,-16.144616,145.430116
"North Bend, OR",0.00129563005644344,7.32835824562646,0.652972241560842,0.38,1.22270466107442,2.78020096242752,3.56240951320049,0.0285276944839573,0.0417365589931854,0.0288186964748489,0.0394101606443866,3.94246227307032,11.6208334,163.4,43.41666667,-124.2483333
"Nuri, Sonora",0.000819567036857073,5.81129300586654,0.655058545130177,0.606060606060606,1.12398310415681,1.87026251288036,2.09668597005224,0.0152120432187187,0.0303455444431557,0.0170157990464384,0.0199786364996302,4.79038350640039,22.13333321,68,28.033333,-109.4
"Okataina",NA,7.36862985348149,0.582678381096884,0.431818181818182,1.08218929897065,1.33581181551346,1.45794852808328,0.0234168766549768,0.0289126131159873,0.0241054090007958,0.0265913866258807,1.61026747041886,9.920833588,159.6,-38.8,176.4
"Panther Wildlife Refuge, FL",0.00103084171730513,7.4952620770654,0.592665676544476,0.777777777777778,1.06508433521126,1.86652795767474,2.02478895285158,0.0310722983115297,0.0255886449987414,0.0203089663372946,0.0221660331521829,3.38515826930854,23.32500076,130.9,26.17,-81.34
"Parkdale, OR",0.00060759894244461,7.41813691849044,0.727621823254099,0.171875,1.22939420858965,2.59296739851758,3.2068777852291,0.0444328077348624,0.0475213921195668,0.0350025912190073,0.0457131101302326,3.81593130483996,8.912500381,110.8,45.51332676,-121.5666709
"Parque El Rey",0.000548292071739565,6.4875080665768,0.590598099687671,0.62962962962963,1.1473657696307,1.77048290696905,2.08177191817912,0.0172295060267189,0.0490206506257451,0.0209560981961706,0.0246051385377447,3.72562450103522,19.32500076,62.9,-24.58,-64.7
"Pasoh",0.000472505559870569,8.58170721613553,0.577255218311603,0.821428571428571,1.04842937247157,1.01158159833321,1.05833626482578,0.0515253683130257,0.02245988372685,0.033762293751603,0.0360794186975749,0.670986430678057,25.29166603,203.5,2.917,102.25
"Pee Dee, SC",0.00122098611354579,7.02495664728037,0.593031576654324,0.481481481481482,1.07503939387323,1.31255843707942,1.41688162849394,0.0515851112818916,0.0199754131623532,0.0156136412526382,0.0181515572307607,2.29968945718562,17.19583321,123.2,34.18,-79.38
"Placerville, CA",0.00314128772744024,7.01793087542848,0.66089903403455,0.304347826086957,1.14672671231397,1.79083188320467,2.10166445717169,0.0366847076075967,0.0491663788589648,0.0310489508017711,0.0367984918744031,2.88832336776657,14.34999943,108.7,38.75029519,-120.7736245
"Portal, AZ",0.00464042999756679,5.60870254783974,0.609797428909957,0.551282051282051,1.0717649688233,1.98525921984604,2.14467432487447,0.0235376232818715,0.0303633590103225,0.0168344582774805,0.0186008712618056,4.9809727140928,12.29166698,48.8,31.88333639,-109.2166761
"Powers, OR",0.000651311023147826,7.3259097668003,0.67904288052281,0.241379310344828,1.11866319095395,1.7590918751716,2.04084622092767,0.0866624464312092,0.0357139479434214,0.0284981886767115,0.0338738540907333,2.95845199483667,11.98750019,157.8,42.89833386,-124.0883332
"Red Fleet, UT",0.00390688459331181,5.90198483940255,0.618652723662127,0.391304347826087,1.16273836848301,2.14677638079298,2.61371095273524,0.0228388590802651,0.0540760304438594,0.0214089191314141,0.026308786380465,5.33129268339754,7.645833015,25.6,40.54999841,-109.3266671
"Republic, WA",0.000619529628914101,7.16642118108264,0.702693803919746,0.160714285714286,1.19566360312731,2.56038378617411,3.09850716762344,0.0151384639774179,0.0436040387666199,0.0249305336871687,0.0311556781815588,4.86036557562503,6.479166508,40,48.6513,-118.7244
