"genusSpecies","genus","family","order","margin.score","lma_g_m2","petiole_width","petiole_area","blade_area","blade_perimeter","feret","minimum_feret","raw_blade_area","raw_blade_perimeter","internal_raw_blade_area","internal_raw_blade_perimeter","length_of_cut_perimeter","no_of_primary_teeth","no_of_subsidiary_teeth","mat_c","map_mm","latitude_n","longitude_e","leaf_area","feret_diameter","feret.diam.ratio","raw_blade_perimeter_corrected","internal_raw_blade_perimeter_corrected","total_tooth_count","teeth.interior.percm","perim.ratio","ln.leaf.area.mm2","ln_pr","ln_tc_ip","pw2.a.ratio","aspect_ratio","shape_factor","compactness","tooth_area","tooth.area.perimeter","tooth.area.interior","tooth.area.blade.area.ratio","avt.tooth.area","teeth.blade.area.ratio","teeth.perimeter.percm","log10_lma","log10_pw2a_ratio"
"Abarema_campestris","Abarema","Fabaceae","Fabales",1,NA,NA,NA,27.58,25.5366666666667,9.51666666666667,NA,NA,NA,NA,NA,NA,NA,NA,26.97500038,2237,-3,-58.97,27.58,5.91331332211664,0.626286814322665,NA,NA,NA,0,1,7.9138117043714,NA,NA,NA,NA,0.535998275368547,23.6533441880541,NA,0,0,0,0,0,0,NA,NA
"Abuta_aff. Pahni","Abuta","Menispermaceae","Ranunculales",1,NA,NA,NA,96.4633333333333,38.74,13.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,26.97500038,2237,-3,-58.97,96.4633333333333,10.5772765126931,0.787623847058063,NA,NA,NA,0,1,8.97052736031323,NA,NA,NA,NA,0.730007768939055,17.2268624742775,NA,0,0,0,0,0,0,NA,NA
"Abuta_grandifolia","Abuta","Menispermaceae","Ranunculales",1,NA,NA,NA,64.97,41.56,17.96,NA,NA,NA,NA,NA,NA,NA,NA,26.97500038,2237,-3,-58.97,64.97,9.09518406748558,0.506413366786502,NA,NA,NA,0,1,8.77909581088053,NA,NA,NA,NA,0.472684817395236,26.5850946590734,NA,0,0,0,0,0,0,NA,NA
"Abuta_panurensis","Abuta","Menispermaceae","Ranunculales",1,NA,NA,NA,92.835,41.015,15.2,NA,NA,NA,NA,NA,NA,NA,NA,26.97500038,2237,-3,-58.97,92.835,10.8664003637006,0.717146169164727,NA,NA,NA,0,1,9.13391840664487,NA,NA,NA,NA,0.694568991547145,18.1230848856516,NA,0,0,0,0,0,0,NA,NA
"Acacia_colletioides","Acacia","Fabaceae","Fabales",1,NA,NA,0.02,0.68,9.62,4.53,NA,NA,NA,NA,NA,NA,NA,NA,17.35833359,415,-32.966,146.15472,0.7,0.94406974388263,0.208403916971883,NA,NA,NA,0,1,4.24849524204936,NA,NA,NA,NA,0.0923354845648601,136.094705882353,NA,0,0,0,0,0,0,NA,NA
"Acacia_dealbata","Acacia","Fabaceae","Fabales",1,NA,NA,NA,0.025,0.91,0.405,NA,NA,NA,NA,NA,NA,NA,NA,11.29166698,792,-42.9,147.3,0.025,0.17750895846087,0.437253647632162,NA,NA,NA,0,1,0.895879734614027,NA,NA,NA,NA,0.375599146378185,34.0866666666667,NA,0,0,0,0,0,0,NA,NA
"Acacia_doratoxylon","Acacia","Fabaceae","Fabales",1,268.7812602,0.1763023395,0.183333333333333,15.7472166666667,57.68,26.26,NA,NA,NA,NA,NA,NA,NA,NA,17.41666603,406,-32.97638,146.14583,15.8388833333333,4.33423630401112,0.203325845551383,NA,NA,NA,0,1,7.22736458622635,NA,NA,0.00222232111940967,NA,0.0843387977279541,153.317443970803,NA,0,0,0,0,0,0,2.42939898582731,-2.65319318647916
"Acacia_elongate","Acacia","Fabaceae","Fabales",1,118.1448273,0.1556307755,0.03,5.3746,20.55,9.26,NA,NA,NA,NA,NA,NA,NA,NA,16.52499962,1147,-34.1,115.1,5.3896,2.61877013344457,0.278399893286721,NA,NA,NA,0,1,6.28837659723353,NA,NA,0.0045063491680172,NA,0.154469000294132,81.3522540983606,NA,0,0,0,0,0,0,2.07241471179789,-2.34617516062193
"Acacia_floribunda","Acacia","Fabaceae","Fabales",1,NA,0.1126936085,0.04,6.35666666666667,34.6366666666667,16.2966666666667,NA,NA,NA,NA,NA,NA,NA,NA,16.70416641,1278,-33.6938,151.14305,6.39666666666667,2.83122111827901,0.178835959326184,NA,NA,NA,0,1,6.42879313640184,NA,NA,0.00252992835185769,NA,0.0724346326239027,203.737268583225,NA,0,0,0,0,0,0,NA,-2.59689177796784
"Acacia_havilandiorum","Acacia","Fabaceae","Fabales",1,NA,0.105774354,0.02,1.92,26.29,11.55,NA,NA,NA,NA,NA,NA,NA,NA,17.35833359,415,-32.966,146.15472,1.94,1.57165031631919,0.136073620460536,NA,NA,NA,0,1,5.26785815906333,NA,NA,0.00576712060006047,NA,0.034908398135218,359.981302083333,NA,0,0,0,0,0,0,NA,-2.23904096667595
"Acacia_hayesii","Acacia","Fabaceae","Fabales",1,NA,0.042391187,NA,0.17,2.02,0.86,NA,NA,NA,NA,NA,NA,NA,NA,26.39583397,2496,9.17,-79.85,0.17,0.465242649168128,0.540979824614102,NA,NA,NA,0,1,2.83321334405622,NA,NA,0.010570663148641,NA,0.52354744741718,24.0023529411765,NA,0,0,0,0,0,0,NA,-1.97589776645214
"Acacia_koa","Acacia","Fabaceae","Fabales",NA,159.031428,0.183333333,NA,17.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,2500,-33.61666667,151.2166667,17.38,4.70413682703821,NA,NA,NA,NA,NA,NA,7.46049030582534,NA,NA,0.00193389591420534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20148295864889,-2.71356690414274
