training_label,n_sites,n_site_morphotypes,sites
Actinidia_,1,1,Nagakubo
Adinandra_,1,1,Robinson Falls
Aidia_,1,1,Tanjung Tuan
Alangium_,1,1,Pasoh
Alibertia_,1,1,Gorgona
Allocasuarina_,1,1,West Head
Alnus_,5,5,"Bandon, OR | Clearwater, WA | Placerville, CA | Red Fleet, UT | Wolf Creek, CO"
Amelanchier_,5,5,"Hood River, OR | Red Fleet, UT | Republic, WA | Three Lynx, OR | Wolf Creek, CO"
Amorpha_,1,1,"Big Hammock, GA"
Annona_,1,1,Ducke
Antidesma_,1,2,Robinson Falls
Apeiba_,1,1,Gorgona
Aporosa_,1,1,Pasoh
Arbutus_,5,5,"North Bend, OR | Placerville, CA | Portal, AZ | Powers, OR | Santa Cruz, CA"
Arceuthobium_,1,1,"Portal, AZ"
Arctostaphylos_,6,6,"Bandon, OR | Government Camp, OR | North Bend, OR | Placerville, CA | Portal, AZ | Powers, OR"
Ardisia_,2,3,Gorgona | Pasoh
Aristolochia_,1,1,Gorgona
Artemisia_,1,1,"Red Fleet, UT"
Aspidosperma_,1,1,Ducke
Atriplex_,1,1,San Bartolo
Avicennia_,1,1,Empalme
Azalea_,1,1,"Government Camp, OR"
Baccharis_,9,12,"Bandon, OR | Cape Blanco, OR | Childs, AZ | Half Moon Bay, CA | North Bend, OR | Placerville, CA | Portal, AZ | Powers, OR | Santa Cruz, CA"
Baeckea_,1,1,Margaret River
Balanops_,1,1,Keka
Bauhinia_,1,2,Gorgona
Betula_,2,2,"Red Fleet, UT | Republic, WA"
Bonamia_,1,1,Chamela
Brackenridgea_,1,1,Keka
Brickellia_,1,1,"Childs, AZ"
Bridelia_,1,1,Kepong
Brosimum_,1,1,Gorgona
Buckinghamia_,1,1,Noah Creek
Bursera_,5,9,"Cabo San Lucas, Baja Mexico | Chamela | Empalme | Nuri, Sonora | San Bartolo"
Caesalpinia_,2,2,Chamela | Noah Creek
Callicarpa_,3,3,Nagakubo | Yakusugi (260m) | Yakusugi (800m)
Calophyllum_,1,1,Seqaqa
Canthium_,1,1,Robinson Falls
Cardiospermum_,4,4,"Alamos | Empalme | Nuri, Sonora | San Bartolo"
Carya_,2,2,CT-River | CT-Swamp
Casearia_,1,1,Pasoh
Castanopsis_,1,1,"Three Lynx, OR"
Ceanothus_,8,10,"Bandon, OR | Half Moon Bay, CA | Parkdale, OR | Placerville, CA | Portal, AZ | Powers, OR | Santa Cruz, CA | Three Lynx, OR"
Ceiba_,2,2,"Alamos | Nuri, Sonora"
Celtis_,2,3,"Childs, AZ | Nuri, Sonora"
Cercocarpus_,2,2,"Childs, AZ | Red Fleet, UT"
Chimaphila_,1,1,"Government Camp, OR"
Chomelia_,1,2,Gorgona
Chrysophyllum_,1,1,Barro Colorado Island
Cinnamomum_,1,1,Robinson Falls
Cissus_,1,1,Chamela
Clematis_,3,3,"Parque El Rey | Red Fleet, UT | Republic, WA"
Clethra_,1,1,"Pee Dee, SC"
Clusia_,2,2,Barro Colorado Island | Gorgona
Condylocarpon_,1,1,Ducke
Cordia_,2,2,"Alamos | Nuri, Sonora"
Cornus_,7,7,"Half Moon Bay, CA | Hood River, OR | Parkdale, OR | Red Fleet, UT | Republic, WA | Santa Cruz, CA | Three Lynx, OR"
Corylus_,5,5,"Hood River, OR | North Bend, OR | Parkdale, OR | Powers, OR | Three Lynx, OR"
Crataegus_,6,7,"Allegheny National Forest, PA | Big Hammock, GA | Dilcher's Woods upland, FL | Harvard Forest, MA | Pee Dee, SC | Republic, WA"
Cremastosperma_,1,1,Barro Colorado Island
Croton_,1,2,Chamela
Dalbergia_,1,1,Ducke
Diospyros_,3,4,Ducke | Pasoh | Tanjung Tuan
Dipterocarpus_,1,1,Pasoh
Doryphora_,1,1,Noah Creek
Drypetes_,1,1,Pasoh
Duguetia_,1,5,Ducke
Dysoxylum_,1,1,Seqaqa
Elaeagnus_,2,2,Nagakubo | Yakusugi (260m)
Encelia_,1,1,Empalme
Endiandra_,1,2,Keka
Endlicheria_,2,2,Ducke | Yasuni-valley bottom
Erythroxylum_,2,2,Chamela | Gorgona
Eucalyptus_,1,2,Margaret River
Eugenia_,2,3,"Gorgona | Panther Wildlife Refuge, FL"
Euodia_,1,1,Nagakubo
Euonymus_,2,2,"Chuzenji-ko | Suganuma, Honshu"
Eurya_,1,1,Robinson Falls
Fagraea_,1,1,Noah Creek
Fallugia_,1,1,"Portal, AZ"
Fendlera_,1,1,"Red Fleet, UT"
Ficus_,1,1,Robinson Falls
Fouquieria_,3,4,"Cabo San Lucas, Baja Mexico | Empalme | San Bartolo"
Fraxinus_,6,8,"Childs, AZ | Chuzenji-ko | IES, NY | Placerville, CA | Portal, AZ | Powers, OR"
Garcinia_,3,3,Keka | Pasoh | Tanjung Tuan
Garrya_,2,2,"Cape Blanco, OR | Portal, AZ"
Gastrolobium_,1,1,Margaret River
Gaultheria_,6,6,"Bandon, OR | Cape Blanco, OR | Clearwater, WA | Ketchikan | North Bend, OR | Three Lynx, OR"
Glycosmis_,1,1,Pasoh
Gomphandra_,1,1,Noah Creek
Gonocaryum_,1,1,Kepong
Gordonia_,1,1,"Archbold, FL"
Gouania_,2,2,"Alamos | Nuri, Sonora"
Guapira_,1,2,Chamela
Guarea_,1,1,Barro Colorado Island
Guatteria_,1,1,Ducke
