specimen_number,photo,leaf,site,morphotype,order,family,genus,species,Measurer.comments,margin,petiole_width,petiole_area,blade_area,blade_perimeter,feret,minimum_feret,raw_blade_area,raw_blade_perimeter,internal_raw_blade_area,internal_raw_blade_perimeter,length_of_cut_perimeter,no_of_primary_teeth,no_of_subsidiary_teeth,lma_g_m2,latitude_N,longitude_E,MAT_C,MAP_mm,diurnal.range_C,isothermality,temp.seasonality,max.temp.warmest.month_C,min.temp.coldest.month_C,MART_C,MART.quarter_C,temp.wet.quarter_C,temp.dry.quarter_C,temp.warm.quarter_C,temp.cold.quarter_C,precip.wet.month_mm,precip.dry.month_mm,precip.seasonality_mm,precip.wet.quarter_mm,precip.dry.quarter_mm,precip.season.month_mm,precip.season.quarter_mm,precip.warm.quarter_mm,precip.cold.quarter_mm
4193,4831,A,Alamos,"""Anacardiaceae sp.""",Sapindales,Anacardiaceae,,,NA,0,NA,NA,1.04,5.85,2.54,NA,1.04,5.85,1,5.74,0,11,NA,144.1,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4194,4831,B,Alamos,"""Anacardiaceae sp.""",Sapindales,Anacardiaceae,,,NA,1,0.043622716,NA,1.27,6.29,2.75,NA,NA,NA,NA,NA,NA,0,NA,102.4,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4176,4830,B,Alamos,"""Apocynanceae sp.""",Gentianales,Apocynaceae,,,NA,1,0.096591519,0.07,9.42,15.77,6.88,NA,NA,NA,NA,NA,NA,NA,NA,431.8,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4175,4830,A,Alamos,"""Apocynanceae sp.""",Gentianales,Apocynaceae,,,NA,1,0.106523598,0.12,17.94,19.03,7.96,NA,NA,NA,NA,NA,NA,NA,NA,60.9,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4149,4802,A,Alamos,"""legume sp.1""",Fabales,Fabaceae,,,NA,1,0.047927763,0.01,2.52,7.59,2.64,NA,NA,NA,NA,NA,NA,NA,NA,47.4,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4150,4802,B,Alamos,"""legume sp.1""",Fabales,Fabaceae,,,NA,1,0.053949342,0.01,3.01,7.44,2.76,NA,NA,NA,NA,NA,NA,NA,NA,56.4,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4152,4832,B,Alamos,"""legume sp.10""",Fabales,Fabaceae,,,NA,1,0.049081858,0,4.79,9.62,3.94,NA,NA,NA,NA,NA,NA,NA,NA,27.1,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4151,4832,A,Alamos,"""legume sp.10""",Fabales,Fabaceae,,,NA,1,0.074113912,0.09,11.96,14.62,5.71,NA,NA,NA,NA,NA,NA,NA,NA,44,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4153,4833,A,Alamos,"""legume sp.11""",Fabales,Fabaceae,,,NA,1,0.04030346,0,0.22,1.88,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4154,4833,B,Alamos,"""legume sp.11""",Fabales,Fabaceae,,,NA,1,0.037240617,0,0.29,2.28,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
